td_sku_nbr,td_chain_nbr,td_last_update_dt
600716702,7,5/27/2020
600716765,7,5/27/2020
600717382,7,5/27/2020
600717365,7,5/27/2020
600717235,7,5/27/2020
600717360,7,5/27/2020
600716878,7,5/27/2020
600716752,7,5/27/2020
600716695,7,5/27/2020
600717438,7,5/27/2020
600717248,7,5/27/2020
600716825,7,5/27/2020
600717437,7,5/27/2020
600717251,7,5/27/2020
600717243,7,5/27/2020
600716692,7,5/27/2020
600716761,7,5/27/2020
600716650,7,5/27/2020
600716861,7,5/27/2020
600709479,7,5/27/2020
600716764,7,5/27/2020
600716706,7,5/27/2020
600716770,7,5/27/2020
600716644,7,5/27/2020
600716641,7,5/27/2020
600716848,7,5/27/2020
600709432,7,5/27/2020
600709427,7,5/27/2020
600709486,7,5/27/2020
600709419,7,5/27/2020
600709482,7,5/27/2020
600709415,7,5/27/2020
600717164,7,5/27/2020
600717165,7,5/27/2020
600717163,7,5/27/2020
600717138,7,5/27/2020
600717171,7,5/27/2020
600717137,7,5/27/2020
600717169,7,5/27/2020
600717173,7,5/27/2020
600717167,7,5/27/2020
600717166,7,5/27/2020
600717432,7,5/27/2020
600717414,7,5/27/2020
600717424,7,5/27/2020
600717134,7,5/27/2020
600717464,7,5/27/2020
600717468,7,5/27/2020
600717463,7,5/27/2020
600717049,7,5/27/2020
600717458,7,5/27/2020
600717407,7,5/27/2020
600717469,7,5/27/2020
600717411,7,5/27/2020
600717132,7,5/27/2020
600717430,7,5/27/2020
600717466,7,5/27/2020
600717416,7,5/27/2020
600717423,7,5/27/2020
600717431,7,5/27/2020
600717465,7,5/27/2020
600717429,7,5/27/2020
600717053,7,5/27/2020
600717421,7,5/27/2020
600717419,7,5/27/2020
600717460,7,5/27/2020
600717422,7,5/27/2020
600716850,7,5/27/2020
600707708,7,5/27/2020
600707713,7,5/27/2020
600707730,7,5/27/2020
600716842,7,5/27/2020
600716757,7,5/27/2020
600716652,7,5/27/2020
600709483,7,5/27/2020
600709485,7,5/27/2020
600716845,7,5/27/2020
600717124,7,5/27/2020
600717044,7,5/27/2020
600717474,7,5/27/2020
600717447,7,5/27/2020
600716735,7,5/27/2020
600716819,7,5/27/2020
600717384,7,5/27/2020
600707719,7,5/27/2020
600707703,7,5/27/2020
600707735,7,5/27/2020
600717404,7,5/27/2020
600717118,7,5/27/2020
600717445,7,5/27/2020
600717386,7,5/27/2020
600716725,7,5/27/2020
600716820,7,5/27/2020
600707696,7,5/27/2020
600707772,7,5/27/2020
600717402,7,5/27/2020
600717050,7,5/27/2020
600717475,7,5/27/2020
600716821,7,5/27/2020
600707724,7,5/27/2020
600717051,7,5/27/2020
600717405,7,5/27/2020
600717119,7,5/27/2020
600717442,7,5/27/2020
600716734,7,5/27/2020
600707741,7,5/27/2020
600717443,7,5/27/2020
600716723,7,5/27/2020
600716726,7,5/27/2020
600707778,7,5/27/2020
600707714,7,5/27/2020
600707734,7,5/27/2020
600717133,7,5/27/2020
600717453,7,5/27/2020
600717126,7,5/27/2020
600717385,7,5/27/2020
600716724,7,5/27/2020
600707783,7,5/27/2020
600707751,7,5/27/2020
600707718,7,5/27/2020
600717413,7,5/27/2020
600717052,7,5/27/2020
600717120,7,5/27/2020
600717387,7,5/27/2020
600716729,7,5/27/2020
600707513,7,5/27/2020
600717055,7,5/27/2020
600717406,7,5/27/2020
600717122,7,5/27/2020
600717388,7,5/27/2020
600716730,7,5/27/2020
600707743,7,5/27/2020
600717449,7,5/27/2020
600717362,7,5/27/2020
600717366,7,5/27/2020
600717374,7,5/27/2020
600717370,7,5/27/2020
600716957,7,5/27/2020
600716879,7,5/27/2020
600716645,7,5/27/2020
600716859,7,5/27/2020
600716844,7,5/27/2020
600716843,7,5/27/2020
600716738,7,5/27/2020
600717389,7,5/27/2020
600717368,7,5/27/2020
600717367,7,5/27/2020
600716959,7,5/27/2020
600716654,7,5/27/2020
600716696,7,5/27/2020
600716840,7,5/27/2020
600717245,7,5/27/2020
600717403,7,5/27/2020
600717047,7,5/27/2020
600717390,7,5/27/2020
600716763,7,5/27/2020
